Accuracy,Epsilon
0.47438752783964366,0.0001
0.45657015590200445,0.0001
0.45434298440979953,0.0001
0.4610244988864143,0.0001
0.46993318485523383,0.0001
0.48329621380846327,0.0001
0.47438752783964366,0.0001
0.46993318485523383,0.0001
0.47438752783964366,0.0001
0.5055679287305123,0.0001
0.48552338530066813,0.0001
0.46325167037861914,0.0001
0.4521158129175947,0.0001
0.45879732739420936,0.0001
0.4521158129175947,0.0001
0.4610244988864143,0.0001
0.47438752783964366,0.0001
0.43429844097995546,0.0001
0.5100222717149221,0.0001
0.46547884187082406,0.0001
0.43875278396436523,0.0001
0.4521158129175947,0.0001
0.43875278396436523,0.0001
0.44766146993318484,0.0001
0.44543429844098,0.0001
0.47438752783964366,0.0001
0.47216035634743875,0.0001
0.48775055679287305,0.0001
0.45879732739420936,0.0001
0.46325167037861914,0.0001
0.5011135857461024,0.0001
0.46325167037861914,0.0001
0.47438752783964366,0.0001
0.47884187082405344,0.0001
0.42538975501113585,0.0001
0.5033407572383074,0.0001
0.43429844097995546,0.0001
0.45657015590200445,0.0001
0.48552338530066813,0.0001
0.5300668151447662,0.0001
0.46325167037861914,0.0001
0.48106904231625836,0.0001
0.44766146993318484,0.0001
0.4922048997772829,0.0001
0.4521158129175947,0.0001
0.48106904231625836,0.0001
0.4766146993318486,0.0001
0.4610244988864143,0.0001
0.46993318485523383,0.0001
0.44097995545657015,0.0001
0.44097995545657015,0.0001
0.44988864142538976,0.0001
0.48329621380846327,0.0001
0.45657015590200445,0.0001
0.48552338530066813,0.0001
0.48106904231625836,0.0001
0.4922048997772829,0.0001
0.41870824053452116,0.0001
0.45657015590200445,0.0001
0.48329621380846327,0.0001
0.47884187082405344,0.0001
0.48106904231625836,0.0001
0.44766146993318484,0.0001
0.48329621380846327,0.0001
0.47438752783964366,0.0001
0.44766146993318484,0.0001
0.4209354120267261,0.0001
0.44988864142538976,0.0001
0.44988864142538976,0.0001
0.43207126948775054,0.0001
0.46770601336302897,0.0001
0.48106904231625836,0.0001
0.45879732739420936,0.0001
0.4922048997772829,0.0001
0.48106904231625836,0.0001
0.4610244988864143,0.0001
0.49665924276169265,0.0001
0.47216035634743875,0.0001
0.44543429844098,0.0001
0.4521158129175947,0.0001
0.46993318485523383,0.0001
0.49888641425389757,0.0001
0.42316258351893093,0.0001
0.44988864142538976,0.0001
0.4766146993318486,0.0001
0.42538975501113585,0.0001
0.44766146993318484,0.0001
0.46547884187082406,0.0001
0.4521158129175947,0.0001
0.47884187082405344,0.0001
0.47216035634743875,0.0001
0.46770601336302897,0.0001
0.45434298440979953,0.0001
0.43429844097995546,0.0001
0.47216035634743875,0.0001
0.4610244988864143,0.0001
0.43207126948775054,0.0001
0.47884187082405344,0.0001
0.4521158129175947,0.0001
0.45879732739420936,0.0001
0.5100222717149221,0.001
0.45434298440979953,0.001
0.49665924276169265,0.001
0.44766146993318484,0.001
0.4298440979955457,0.001
0.46770601336302897,0.001
0.47884187082405344,0.001
0.46325167037861914,0.001
0.47884187082405344,0.001
0.5456570155902004,0.001
0.48552338530066813,0.001
0.48997772828507796,0.001
0.43207126948775054,0.001
0.47884187082405344,0.001
0.45434298440979953,0.001
0.5233853006681515,0.001
0.47438752783964366,0.001
0.4922048997772829,0.001
0.44543429844098,0.001
0.48552338530066813,0.001
0.46993318485523383,0.001
0.5167037861915368,0.001
0.48552338530066813,0.001
0.48329621380846327,0.001
0.4766146993318486,0.001
0.47884187082405344,0.001
0.49888641425389757,0.001
0.46770601336302897,0.001
0.49443207126948774,0.001
0.44766146993318484,0.001
0.48997772828507796,0.001
0.47216035634743875,0.001
0.48552338530066813,0.001
0.44766146993318484,0.001
0.4922048997772829,0.001
0.48106904231625836,0.001
0.46325167037861914,0.001
0.49888641425389757,0.001
0.46547884187082406,0.001
0.5189309576837416,0.001
0.4922048997772829,0.001
0.5055679287305123,0.001
0.4365256124721604,0.001
0.48329621380846327,0.001
0.46993318485523383,0.001
0.49888641425389757,0.001
0.45879732739420936,0.001
0.44766146993318484,0.001
0.49665924276169265,0.001
0.49443207126948774,0.001
0.47216035634743875,0.001
0.49888641425389757,0.001
0.512249443207127,0.001
0.49665924276169265,0.001
0.45879732739420936,0.001
0.49665924276169265,0.001
0.48775055679287305,0.001
0.46770601336302897,0.001
0.5167037861915368,0.001
0.46993318485523383,0.001
0.46325167037861914,0.001
0.49888641425389757,0.001
0.5077951002227171,0.001
0.48997772828507796,0.001
0.47884187082405344,0.001
0.4766146993318486,0.001
0.5055679287305123,0.001
0.4521158129175947,0.001
0.48329621380846327,0.001
0.47438752783964366,0.001
0.43875278396436523,0.001
0.47884187082405344,0.001
0.48552338530066813,0.001
0.46770601336302897,0.001
0.46325167037861914,0.001
0.46547884187082406,0.001
0.44988864142538976,0.001
0.49443207126948774,0.001
0.47216035634743875,0.001
0.47438752783964366,0.001
0.47216035634743875,0.001
0.44766146993318484,0.001
0.45879732739420936,0.001
0.48329621380846327,0.001
0.48997772828507796,0.001
0.5011135857461024,0.001
0.47884187082405344,0.001
0.48997772828507796,0.001
0.49443207126948774,0.001
0.47884187082405344,0.001
0.48106904231625836,0.001
0.47216035634743875,0.001
0.45879732739420936,0.001
0.4922048997772829,0.001
0.48106904231625836,0.001
0.46325167037861914,0.001
0.48552338530066813,0.001
0.49888641425389757,0.001
0.48329621380846327,0.001
0.48552338530066813,0.001
0.47884187082405344,0.01
0.46547884187082406,0.01
0.5211581291759465,0.01
0.47884187082405344,0.01
0.5211581291759465,0.01
0.5144766146993318,0.01
0.5167037861915368,0.01
0.47216035634743875,0.01
0.5144766146993318,0.01
0.5055679287305123,0.01
0.48106904231625836,0.01
0.49665924276169265,0.01
0.49888641425389757,0.01
0.5011135857461024,0.01
0.5100222717149221,0.01
0.49888641425389757,0.01
0.46993318485523383,0.01
0.4922048997772829,0.01
0.48329621380846327,0.01
0.5211581291759465,0.01
0.5256124721603563,0.01
0.512249443207127,0.01
0.48106904231625836,0.01
0.4922048997772829,0.01
0.45879732739420936,0.01
0.49888641425389757,0.01
0.49665924276169265,0.01
0.532293986636971,0.01
0.5100222717149221,0.01
0.5144766146993318,0.01
0.5412026726057907,0.01
0.5189309576837416,0.01
0.5055679287305123,0.01
0.48997772828507796,0.01
0.47216035634743875,0.01
0.5211581291759465,0.01
0.5100222717149221,0.01
0.49443207126948774,0.01
0.46993318485523383,0.01
0.49665924276169265,0.01
0.5233853006681515,0.01
0.48106904231625836,0.01
0.5055679287305123,0.01
0.5278396436525612,0.01
0.532293986636971,0.01
0.4922048997772829,0.01
0.48997772828507796,0.01
0.44766146993318484,0.01
0.5011135857461024,0.01
0.46547884187082406,0.01
0.5167037861915368,0.01
0.48552338530066813,0.01
0.5100222717149221,0.01
